ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock
55B34755,5,21,2,1,3,11,20,270,1,2,14,20160104,9.00,4,35,90
55B34B59,5,21,2,1,4,10,12,157,1,2,14,20151229,9.00,2,31,167
55B35872,5,21,2,1,3,11,20,270,1,2,8,20160205,9.00,5,45,31
55B36181,5,21,2,1,4,10,12,157,1,2,8,20160204,9.00,4,16,78
55B36E94,5,21,2,1,3,11,20,270,1,2,2,20151218,9.00,0,76,84
55B37703,5,69,2,1,3,11,20,319,1,2,9,20151218,14.00,0,147,196
55B37E10,5,38,2,1,3,11,20,197,1,2,8,20160303,9.00,4,15,37
55B4AD13,5,26,2,1,4,10,9,165,2,2,9,20151230,13.00,3,44,243
55B50096,5,69,2,1,4,10,12,274,1,2,2,20151218,9.00,0,43,459
55B5F339,5,21,2,1,4,10,12,157,1,10,8,20151229,4.00,0,36,265
55B60759,5,21,2,1,4,10,12,157,1,10,2,20151230,4.00,0,117,64
55B60E66,5,26,2,1,3,11,28,160,2,2,2,20160104,8.00,8,35,242
55B61B79,5,26,2,1,4,10,9,165,2,2,2,20160102,8.00,6,49,307
55B62892,5,26,2,1,4,10,9,165,2,2,2,20151218,8.00,0,78,72
55B63505,5,26,2,1,4,10,9,165,2,2,5,20160116,8.00,20,7,221
55B6DF75,5,69,2,1,3,11,20,319,1,2,7,20151218,13.00,0,78,152
55B6E581,5,38,2,1,4,10,12,195,1,2,8,20160317,9.00,4,6,6
55B6F395,5,38,2,1,4,10,12,195,1,2,14,20160302,10.00,3,13,102
55B81585,5,26,2,1,3,11,28,283,2,2,2,20160201,10.00,1,57,157
55B82400,5,26,2,1,3,11,28,160,2,2,1,20160116,10.00,0,9,157
55B83012,5,26,2,1,3,11,28,160,2,2,9,20160125,10.00,1,25,168
55B83D25,5,26,2,1,4,10,9,165,2,2,1,20160120,10.00,0,20,327
55B84B39,5,26,2,1,4,10,12,161,1,2,1,20160201,10.00,1,57,226
55B85246,5,26,2,1,4,10,9,284,2,2,9,20160202,10.00,2,49,150
55B86565,5,26,2,1,4,10,9,165,2,2,9,20160125,10.00,1,24,329
55B87278,5,26,2,1,3,11,20,114,1,2,12,20160202,10.00,2,31,146
55C9C917,5,33,2,2,4,15,40,142,1,8,1,20160619,8.00,0,0,1
55CA0274,5,4,2,1,3,3,10,55,2,2,2,20160201,9.00,1,21,178
55CA1B99,5,33,2,2,4,15,41,163,1,8,1,0,8.00,0,0,0
55CA4C48,5,33,2,2,4,15,40,142,1,8,11,20151229,8.00,0,23,317
55CA7B95,5,33,2,2,4,15,41,143,1,2,2,20160126,8.00,2,21,95
55CA8202,5,33,2,2,4,15,40,159,2,8,2,0,8.00,0,0,0
55CA8F15,5,33,2,2,4,15,40,159,2,8,2,0,8.00,0,0,0
55CA9521,5,33,2,2,4,15,40,159,2,8,11,20160211,8.00,4,21,147
55CAC670,5,33,2,2,4,15,41,163,1,8,1,0,8.00,0,0,0
55CACD77,5,33,2,2,4,15,41,163,1,8,1,20160307,8.00,1,42,121
55CB1852,5,26,2,1,4,10,9,165,2,9,2,20160709,3.00,0,0,0
55CB2363,5,26,2,1,4,10,9,165,2,9,1,0,3.00,0,0,0
55CB3278,5,26,2,1,3,11,20,114,1,9,8,0,3.00,0,0,0
55CB3783,5,26,2,1,3,11,20,114,1,9,5,20160628,3.00,0,0,1
55CB4092,5,26,2,1,4,10,12,161,1,8,8,0,3.00,0,0,0
55CB4597,5,26,2,1,4,10,12,161,1,8,5,0,3.00,0,0,0
55CB5A18,5,26,2,1,4,10,12,161,1,10,1,20160223,5.00,2,32,362
55CB6125,5,26,2,1,4,10,12,161,1,10,2,20160223,5.00,2,33,270
55CB7343,5,26,2,1,4,10,12,161,1,10,2,20160219,4.00,0,24,208
55CB8D69,5,33,2,2,4,15,40,159,2,8,2,20160222,8.00,1,23,233
55CB9B83,5,50,2,1,4,15,48,455,1,8,8,0,5.00,0,0,0
55CBA189,5,26,2,1,4,10,9,165,2,10,5,20160225,4.00,4,10,420
55CBA492,5,26,2,1,4,10,9,165,2,10,2,20160214,4.00,0,23,206
55CBBD17,5,26,2,1,3,11,28,160,2,2,2,20160309,8.00,0,16,78
55CBC525,5,26,2,1,3,11,20,114,1,2,8,20160301,8.00,2,69,76
55CBD238,5,26,2,1,4,10,12,161,1,2,2,20160301,9.00,1,171,65
55CBF573,5,10,2,2,4,4,9,14,2,2,4,20160211,9.00,4,38,235
55CC0488,5,10,2,2,3,3,10,15,2,2,4,20160307,9.00,1,35,210
55CC3F47,5,1,2,4,4,4,9,95,2,2,2,20160103,5.00,3,92,124
55CC5165,5,1,2,4,4,4,12,93,1,9,1,20160112,4.00,0,89,163
55CC5A74,5,1,2,4,4,4,12,93,1,9,2,20160104,4.00,4,66,260
55CCED21,5,26,2,1,3,11,20,114,1,2,1,20160229,5.00,1,26,149
55CCF428,5,26,2,1,3,11,20,114,1,2,2,20160229,5.00,1,31,125
55CCFF39,5,26,2,1,3,11,28,160,2,10,2,20160301,4.00,2,27,135
55CD0848,5,26,2,1,3,11,28,160,2,10,5,20160304,4.00,5,9,222
55CD1056,5,26,2,1,3,11,28,160,2,9,2,20160306,3.00,0,1,7
55CD1763,5,26,2,1,3,11,28,160,2,9,1,20160502,3.00,0,0,0
55CD1E70,5,26,2,1,3,11,20,114,1,10,2,20160301,4.00,2,20,133
55CE1B23,5,6,2,7,4,4,9,339,2,2,5,20160210,11.50,3,20,249
55CE7E22,5,6,1,7,4,4,9,339,2,10,7,20160202,9.00,2,44,212
55CEB375,5,2,2,7,4,4,9,100,2,8,1,20151230,9.00,3,50,132
55CEBC84,5,2,2,7,4,4,9,100,2,8,1,20151230,9.00,3,27,213
55CF1573,5,22,2,7,3,3,10,99,2,8,11,20160215,6.50,1,78,54
55CF3000,5,43,2,1,4,15,72,456,1,9,8,0,2.00,0,0,0
55CF3505,5,43,2,1,4,15,72,456,1,9,3,0,2.00,0,0,0
55CF5A42,5,6,1,4,3,3,8,457,1,10,2,20160126,5.00,2,102,82
55CF9B07,5,6,2,7,3,3,11,431,1,2,2,20151230,5.00,3,56,124
55CFEA86,5,1,1,4,4,4,9,95,2,10,2,20160102,3.00,6,121,135
55CFF294,5,1,1,4,4,4,9,95,2,10,5,20160104,3.00,8,95,200
55D1CA66,5,1,2,4,3,3,11,111,2,9,9,20151230,3.00,0,65,76
55D1DF87,5,36,1,2,3,3,6,330,1,10,2,20151231,6.50,4,26,241
55D22355,5,3,2,7,4,4,9,343,2,2,11,20160223,8.00,2,53,136
55D2F868,5,3,2,1,3,3,6,328,1,2,2,20160105,11.50,5,17,283
55D35460,5,11,2,2,3,3,6,84,1,8,2,20151230,5.00,0,27,119
55D35D69,5,11,2,2,3,3,6,84,1,8,17,20151230,5.00,3,54,97
55D36476,5,11,2,2,3,3,6,84,1,8,2,0,5.00,0,0,0
55D49E90,5,1,2,2,4,4,12,171,1,8,2,20160113,5.00,0,36,222
55D57000,5,22,2,7,4,4,9,101,2,9,11,20160209,5.00,2,111,129
55D5B973,5,6,2,7,4,4,12,44,1,9,11,20160125,5.00,1,41,152
55D5E315,5,26,2,1,3,11,20,114,1,2,12,20160106,13.00,6,13,157
55D60C56,5,43,2,1,3,8,77,394,2,8,7,20160109,4.00,0,10,141
55D62379,5,3,2,1,4,4,12,156,1,2,1,20160218,10.00,0,11,21
55D64816,5,100,2,7,4,4,12,123,1,9,11,0,6.50,0,0,0
55D6F589,5,6,1,2,4,4,9,276,2,10,4,20151229,5.00,2,49,179
55D7C800,5,1,2,2,4,4,9,167,2,8,11,20160112,5.00,0,90,132
55D7E125,5,1,2,2,4,4,9,167,2,8,1,20160111,5.00,0,80,129
55D7EF39,5,1,2,2,4,4,9,167,2,8,2,20160113,5.00,0,17,213
55D80965,5,22,2,2,4,4,9,167,2,8,11,20160126,9.00,2,81,149
55D81A82,5,22,2,2,3,3,10,318,2,8,2,20160129,8.00,5,27,134
55DA1690,5,6,2,7,3,3,10,120,2,2,11,20160215,5.00,1,132,55
55EB5B11,5,6,2,7,4,4,9,276,2,2,5,20160223,7.50,2,61,256
55EB6521,5,3,2,5,4,4,9,340,2,2,5,20160308,12.50,9,5,91
55EB6E30,5,3,2,5,4,4,9,340,2,2,2,20160209,12.50,2,20,139
55EB8048,5,1,2,7,4,4,12,86,1,9,2,20160116,5.00,0,80,127
55EB9266,5,1,2,5,4,4,12,115,1,9,2,20160125,6.50,1,26,147
55EB9B75,5,1,2,5,4,4,12,115,1,9,8,20160206,7.50,0,115,125
55EBA484,5,1,2,5,4,4,12,115,1,9,1,20160205,7.50,0,60,355
55EBB602,5,1,2,5,4,4,12,115,1,2,13,20160128,9.00,4,33,254
55EBC719,5,3,2,5,4,4,12,24,1,2,9,20160201,10.00,1,18,184
55EBD230,5,1,2,7,3,3,11,447,1,9,13,20160313,6.50,14,14,123
55EBD836,5,1,2,7,3,3,11,447,1,9,13,20160313,6.50,14,27,106
55EBDE42,5,36,2,7,3,3,11,414,1,8,2,20160219,8.00,0,73,68
55EBE448,5,1,2,5,3,3,11,458,1,2,9,20160211,8.00,4,47,122
55EBF060,5,3,2,5,3,3,11,102,2,10,2,20160111,6.50,0,32,125
55EBF666,5,36,2,7,3,3,6,330,1,8,2,20160219,8.00,0,27,280
55EBFC72,5,3,2,5,3,3,6,10,1,9,1,20160209,6.50,2,15,14
55EC0278,5,3,2,5,3,3,6,10,1,9,2,20160212,6.50,5,31,141
55EC7C00,5,6,2,4,4,4,12,44,1,9,8,20160604,4.00,0,0,2
55EC9B31,5,1,2,4,3,3,6,94,1,8,2,20160205,4.00,5,39,146
55ECA137,5,1,2,4,3,3,6,94,1,8,1,20160201,4.00,1,24,93
55ED2468,5,1,2,4,4,4,12,93,1,8,11,20160312,5.00,0,44,124
55ED7C56,5,10,2,2,3,3,11,75,2,2,2,20160223,8.00,2,8,101
55ED9E90,5,7,2,1,3,3,8,231,2,2,9,0,9.00,0,0,0
55EDA395,5,1,2,1,3,3,8,150,2,2,9,0,8.00,0,0,0
55EDA800,5,6,2,1,3,3,8,12,1,2,9,0,6.50,0,0,0
55EDCC36,5,10,2,2,4,4,12,77,1,9,9,20160208,6.50,1,105,96
55EDD646,5,10,2,2,4,4,12,77,1,9,8,20160208,6.50,1,73,183
55EE5775,5,1,2,4,4,4,9,95,2,9,2,20160113,2.50,0,185,95
55EE6084,5,1,2,4,4,4,9,95,2,9,11,20160111,2.50,0,133,194
55EE6993,5,1,2,4,4,4,9,95,2,9,11,20160111,2.50,0,153,181
55EED602,5,16,2,4,4,4,12,46,1,8,3,20160523,5.00,3,64,288
55EEDB07,5,16,2,4,4,4,12,46,1,8,11,0,5.00,0,0,0
55EEE820,5,16,2,4,4,4,12,46,1,8,9,20160426,5.00,2,308,166
55EF1E74,5,1,2,4,4,4,12,93,1,9,9,20160208,4.00,1,85,137
55EF2783,5,1,2,4,4,4,12,93,1,9,1,20160209,4.00,2,160,69
55EF4210,5,1,2,4,4,4,12,93,1,9,3,20160205,4.00,0,58,135
55EF8274,5,1,2,4,3,3,10,109,2,9,2,20160229,2.50,1,115,72
55EF8C84,5,1,2,4,3,3,10,109,2,9,2,20160301,2.50,2,62,100
55EFBA30,5,1,2,4,3,3,8,162,2,2,8,0,5.00,0,0,0
55EFBF35,5,36,2,4,3,3,8,407,2,2,8,0,9.00,0,0,0
55EFC440,5,7,2,4,3,3,8,231,1,2,8,0,8.00,0,0,0
55F1A824,5,30,2,5,3,8,24,80,1,8,2,20151230,9.00,3,84,79
55F1C856,5,43,2,1,4,15,72,376,1,8,11,0,5.00,0,0,0
55F20820,5,40,2,5,3,8,37,438,1,8,2,20160102,3.50,2,24,57
55F26917,5,25,2,7,4,4,9,127,2,2,11,20160229,10.00,1,116,142
55F39F27,5,25,2,7,4,4,9,127,2,8,2,20160201,10.00,1,80,163
55F3CD73,5,33,2,5,3,8,25,249,2,8,1,20160113,6.50,0,26,62
55F45B15,5,1,2,5,3,3,8,459,1,2,1,20160201,8.00,1,54,92
55F46020,5,1,2,5,4,4,9,348,2,2,9,20160126,10.00,2,26,147
55F49472,5,3,1,4,4,4,12,24,1,10,2,20160307,5.00,1,392,123
55F49D81,5,3,1,4,4,4,12,24,1,10,3,20160307,5.00,1,190,218
55F5F727,5,13,2,2,3,3,6,277,1,2,8,20160211,9.00,4,16,239
55F60642,5,10,1,2,3,3,11,75,1,10,1,20160209,6.50,2,28,188
55F62B79,5,10,2,2,4,4,9,14,2,2,11,20160406,9.00,37,2,20
55F64202,5,5,2,2,4,4,12,18,1,2,8,20160219,8.00,0,11,285
55F73040,5,60,2,1,4,13,30,239,3,2,2,20160317,4.00,11,146,0
55F73545,5,32,2,1,4,13,26,460,2,2,11,20160404,4.00,8,67,11
55F73C52,5,32,2,1,4,13,30,119,3,2,9,20160304,4.00,0,105,3
55F74258,5,32,2,1,4,13,30,119,1,2,9,20160314,4.00,8,87,12
55F74965,5,32,2,1,4,13,30,119,3,2,2,20160314,4.00,8,104,9
55F75C84,5,60,2,1,4,13,30,239,3,2,3,20160307,4.00,1,126,1
55F76088,5,60,2,1,4,13,30,239,3,2,2,20160304,4.00,0,90,28
55F76694,5,32,2,1,4,13,30,119,3,10,2,20160311,3.00,5,142,15
55F76C00,5,32,2,1,4,13,30,119,3,10,1,20160311,3.00,5,134,11
55F77307,5,32,2,1,4,13,30,119,3,10,2,20160314,3.00,8,190,7
55F77F19,5,60,2,1,4,13,30,461,1,10,10,20160321,2.50,15,15,125
55F78121,5,60,2,1,4,13,30,461,1,10,8,20160315,2.50,9,23,333
55F79642,5,60,2,1,4,13,30,461,1,10,2,20160315,2.50,9,26,6
55F7A254,5,60,2,1,4,13,30,461,3,10,2,20160309,2.50,3,32,107
55F7AB63,5,32,2,1,4,13,30,462,1,2,2,20160323,4.00,10,53,4
55F7B371,5,60,2,1,4,13,26,372,2,2,2,20160310,4.00,4,49,17
55F7BA78,5,32,2,1,4,13,30,119,1,2,8,20160319,4.00,13,17,138
55F7BF83,5,32,2,1,4,13,30,119,1,2,2,20160313,4.00,7,25,87
55F7C488,5,32,2,1,4,13,30,119,3,2,2,20160314,4.00,8,88,10
55F7C993,5,60,2,1,4,13,26,199,2,2,2,20160313,4.00,7,115,2
55F7CD97,5,60,2,1,4,13,26,372,2,2,11,20160317,4.00,11,55,130
55F7D404,5,32,2,1,4,13,26,83,2,10,2,20160313,2.00,7,192,2
55F7DD13,5,32,2,1,4,13,26,83,3,10,12,20160315,2.00,9,21,50
55F7E521,5,32,2,1,4,13,26,83,3,10,5,20160315,2.00,9,78,4
55F7F335,5,32,2,1,4,13,26,83,2,10,2,20160314,2.00,8,266,21
55F7F941,5,32,2,1,4,13,26,83,3,10,1,20160304,2.00,0,96,14
55F80048,5,32,2,1,4,13,26,83,3,2,2,20160307,4.00,1,141,20
55F81266,5,32,2,1,4,13,29,118,3,2,11,20160304,3.00,0,40,4
55F82080,5,67,2,1,4,13,29,118,3,2,1,20160303,2.50,0,84,2
55F83096,5,67,2,1,4,13,29,118,3,2,2,20160303,2.50,0,64,8
55F83400,5,67,2,1,4,13,29,118,3,2,2,20160303,2.50,0,119,0
55F83A06,5,32,2,1,4,13,29,118,3,2,1,20160306,2.50,0,44,1
55F83F11,5,60,2,1,4,13,26,372,3,10,5,20160307,3.00,1,75,40
55F84517,5,60,2,1,4,13,26,372,2,10,12,20160307,3.00,1,22,314
55F84A22,5,60,2,1,4,13,26,372,2,10,2,20160310,3.00,4,185,20
55F85937,5,60,2,1,4,13,26,372,3,10,12,20160311,2.50,5,10,340
55F85E42,5,60,2,1,4,13,26,372,2,10,2,20160307,2.50,1,93,155
55F86347,5,60,2,1,4,13,26,372,2,10,2,20160307,2.50,1,144,347
55F88480,5,60,2,1,4,13,26,199,2,2,2,20160307,4.00,1,149,41
55F88884,5,67,2,1,4,13,29,118,3,2,1,20160303,4.00,0,89,3
55F88C88,5,67,2,1,4,13,29,118,3,2,2,20160304,4.00,0,79,0
55F89092,5,60,2,1,4,13,26,199,3,2,2,20160308,4.00,2,75,13
55F9BE94,5,3,1,2,3,3,11,110,2,10,2,20160112,5.00,0,17,256
55F9C703,5,3,1,2,3,3,6,463,1,10,2,20160109,5.00,0,30,233
55F9D214,5,23,2,1,4,13,53,310,3,2,9,20160227,6.50,0,12,94
55F9D517,5,23,2,1,4,13,53,310,1,2,2,20160225,6.50,0,16,91
55FA0B71,5,23,2,1,4,13,53,310,3,2,6,20160224,4.00,0,32,67
55FA0E74,5,23,2,1,4,13,53,310,1,2,15,20160226,4.00,0,15,75
55FA1076,5,23,2,1,4,13,53,310,1,2,14,20160225,4.00,0,14,56
55FA1480,5,67,2,1,4,13,57,264,3,2,5,20160116,5.00,0,10,111
55FA1682,5,46,2,1,4,13,46,179,3,2,3,20160113,4.00,0,11,129
55FA1C88,5,46,2,1,4,13,46,179,1,2,2,20160127,4.00,3,28,131
55FA2193,5,46,2,1,4,13,46,179,3,2,9,20160111,4.00,0,34,92
55FA2800,5,46,2,1,4,13,69,366,2,2,2,20160114,5.00,0,21,70
55FA2D05,5,46,2,1,4,13,69,366,2,2,7,20160111,5.00,0,14,106
55FA3311,5,67,2,1,4,13,57,264,1,2,1,20160113,5.00,0,36,15
55FA3C20,5,67,2,1,4,13,57,264,3,2,2,20160121,5.00,0,5,99
55FA9B15,5,1,2,2,3,3,10,318,2,8,11,0,6.50,0,0,0
55FAAD33,5,1,2,2,3,3,8,170,1,8,2,0,6.50,0,0,0
55FAB339,5,7,2,2,3,3,8,174,2,8,2,0,6.50,0,0,0
55FAE387,5,11,2,2,3,3,6,84,1,8,2,20160213,5.00,6,20,202
55FAFD13,5,11,2,2,3,3,11,17,2,8,11,20160126,5.00,2,60,155
55FB1133,5,10,2,2,4,4,9,14,2,2,1,20160208,6.50,8,11,400
55FB1A42,5,1,2,2,3,3,10,99,2,8,11,20160107,8.00,0,11,247
55FB1F47,5,1,2,2,3,3,10,99,2,8,2,20160106,8.00,0,8,233
55FB5096,5,4,2,1,4,4,12,152,1,2,5,20160320,15.00,0,7,61
560D9F83,5,23,2,1,4,13,53,310,3,2,1,20160224,9.00,0,6,99
560DA387,5,23,2,1,4,13,53,310,1,2,14,20160228,8.00,0,5,93
560DA589,5,23,2,1,4,13,53,310,3,2,2,20160225,8.00,0,21,7
560DA892,5,61,2,1,4,13,53,374,3,2,2,20160224,8.00,0,31,62
560DAC96,5,61,2,1,4,13,67,311,3,2,2,20160226,9.00,0,7,96
5611A513,5,6,2,2,3,3,11,427,1,2,2,20160412,8.00,2,197,22
5611F593,5,9,2,1,3,3,11,391,2,2,2,20160318,8.00,0,22,277
5.61E+245,5,9,2,2,4,15,41,143,1,8,1,20160415,6.50,5,18,189
5614EF55,5,33,2,2,4,15,41,143,1,8,4,20160401,7.50,1,4,105
5614FA66,5,33,2,2,4,15,41,143,1,8,1,20160330,6.50,0,9,212
56150274,5,9,2,2,4,15,41,248,1,8,3,20160406,4.00,3,13,138
5615A537,5,16,2,2,4,4,12,46,1,9,10,20160318,4.00,0,128,154
5615BB59,5,16,2,2,4,4,12,46,1,8,2,20160314,5.00,1,104,87
56185222,5,33,2,2,3,8,24,201,1,8,2,20160512,6.50,4,8,130
562EA840,5,1,2,5,4,4,12,115,1,8,9,20160112,8.00,0,102,108
562EB250,5,1,2,5,4,4,12,115,1,2,9,20160105,9.00,9,79,215
56308214,5,50,2,1,3,8,15,444,2,9,2,20160412,5.00,2,54,178
5631A505,5,80,2,1,4,15,48,436,1,8,3,20160408,4.00,0,26,77
56354432,5,44,2,2,3,3,6,382,1,2,8,20160419,5.00,2,107,71
56374F55,5,9,2,2,3,3,11,391,1,8,2,20160322,6.50,0,69,185
56379828,5,33,2,2,3,8,25,249,1,9,1,20160315,5.00,2,49,85
564FC517,5,11,2,2,3,3,6,84,1,8,2,20160329,6.50,2,26,300
56508408,5,16,2,4,3,3,10,104,2,8,2,20160329,3.00,2,48,40
56517852,5,9,1,2,3,3,11,465,2,10,2,20160318,3.00,0,38,172
56517D57,5,11,2,2,3,3,11,17,1,8,2,20160328,5.00,1,76,85
56518363,5,11,2,2,3,3,11,17,2,8,2,20160328,5.00,1,114,95
56518969,5,11,1,2,3,3,11,17,2,10,2,20160329,3.00,16,70,108
56518F75,5,11,1,2,3,3,11,17,2,10,1,20160328,3.00,15,116,144
5.65E+94,5,11,1,2,3,3,11,17,1,10,12,20160329,3.00,16,19,239
5651AA02,5,16,2,2,3,3,6,234,1,8,3,20160328,5.00,1,9,399
56540404,5,10,2,2,4,4,9,14,2,8,5,20160406,6.50,6,27,417
5655E787,5,9,1,1,3,3,11,391,2,10,1,20160403,5.00,3,32,212
56568444,5,53,2,1,4,4,12,214,1,8,1,20160418,5.00,1,63,253
56569258,5,53,2,1,4,4,12,214,1,8,5,20160418,5.00,1,25,140
5656E844,5,34,1,1,3,3,11,105,1,10,2,20160317,8.00,4,22,131
5.66E+34,5,5,2,1,3,3,6,363,1,8,2,20160328,7.50,1,100,93
56596783,5,9,2,7,4,4,9,246,2,8,5,20160504,6.50,10,37,254
5.66E+26,5,6,2,7,4,4,12,44,1,2,11,20160501,6.50,7,1,8
56599832,5,34,2,7,3,3,10,194,2,8,11,20160504,8.00,10,41,258
565A3E98,5,33,2,1,4,15,40,159,2,8,2,20160510,6.50,2,62,102
565C2C92,5,33,2,1,4,15,40,159,2,8,11,0,6.50,0,0,0
565D7824,5,16,2,2,3,3,11,107,1,8,2,20160406,4.00,6,32,273
565EA929,5,2,2,4,4,4,9,45,2,8,10,20160509,5.00,1,74,189
565EF808,5,14,2,4,4,4,9,26,2,9,5,20160426,3.00,0,130,589
565F4989,5,16,2,4,3,3,11,232,1,8,12,20160405,2.50,0,56,109
565F4E94,5,16,2,4,3,3,11,232,2,8,1,20160406,2.50,0,71,146
565FBB03,5,6,2,7,4,4,9,339,2,2,9,20160308,11.50,0,174,178
56729428,5,34,2,4,3,3,11,105,1,8,1,20160320,6.50,7,34,183
56729731,5,34,2,4,3,3,11,105,1,8,5,20160325,6.50,12,98,94
56779610,5,101,2,4,4,4,9,27,2,9,2,20160503,2.50,3,44,367
56783367,5,2,2,2,4,4,9,45,2,2,1,20160407,6.50,7,19,352
56783771,5,2,2,2,4,4,9,45,2,2,8,20160405,6.50,5,11,441
5679DE94,5,21,2,1,4,10,12,157,1,2,9,20160305,9.00,6,13,233
5679DC92,5,21,2,1,3,11,20,270,1,2,9,20160305,9.00,6,13,166
5679F820,5,38,2,1,3,11,20,197,1,2,1,20160308,8.00,9,44,58
567A0129,5,21,2,1,4,10,12,157,1,2,2,20160304,10.00,5,22,207
567A1448,5,21,2,1,3,11,20,270,1,2,2,20160317,8.00,4,25,298
567A1B55,5,38,2,1,4,10,12,195,1,2,15,20160317,8.00,18,31,101
567A2161,5,38,2,1,4,10,12,195,1,2,14,20160306,8.00,7,3,231
567A3682,5,38,2,1,4,10,12,195,1,2,5,20160410,8.00,14,1,398
567A3C88,5,38,2,1,4,10,12,195,1,2,3,20160410,8.00,28,3,522
567A5614,5,38,2,1,3,11,20,197,1,10,2,20160318,5.00,5,1,43
567A5E22,5,38,2,1,3,11,20,197,1,10,1,20160316,5.00,3,0,43
567A6327,5,26,2,1,3,11,28,160,2,2,11,20160318,8.00,0,21,72
567A6C36,5,26,2,1,4,10,9,165,2,2,2,20160407,8.00,11,18,207
567A7F55,5,21,2,1,3,11,20,270,1,2,2,20160326,9.00,13,6,190
567A8662,5,38,2,1,3,11,28,200,2,2,2,20160322,9.00,9,1,196
567A9274,5,38,2,1,4,10,9,216,2,2,2,20160410,9.00,14,12,274
567A9B83,5,38,2,1,4,10,9,216,2,2,11,20160406,9.00,24,13,310
567AAD01,5,21,2,1,4,10,12,157,1,2,9,20160324,9.00,0,6,411
567AC323,5,21,2,1,4,10,12,157,1,2,2,20160324,9.00,11,13,455
567AD440,5,21,2,1,3,11,28,260,2,2,2,20160320,9.00,7,1,139
567AE658,5,21,2,1,3,11,28,260,2,2,2,20160404,8.00,1,12,113
567AEE66,5,21,2,1,4,10,9,255,2,2,11,20160324,8.00,0,4,338
567AFC80,5,38,2,1,3,11,20,197,1,2,15,20160507,8.00,7,13,289
567B0791,5,38,2,1,3,11,20,197,1,2,8,20160428,8.00,0,9,243
567DCF03,5,38,2,1,3,11,20,197,1,2,2,20160317,8.00,4,2,205
567DD105,5,38,2,1,3,11,20,197,1,2,3,0,8.00,0,3,275
567DDE18,5,26,2,1,4,10,9,165,2,2,9,20160318,10.00,5,3,447
567DE222,5,26,2,1,4,10,9,165,2,2,11,20160422,10.00,12,17,257
5680BE54,5,10,2,2,4,4,9,14,2,2,2,20160502,8.00,2,135,114
56968226,5,34,2,2,3,3,6,381,1,8,10,20160511,8.00,11,97,279
5696A359,5,10,2,2,3,3,11,75,2,2,2,20160501,6.50,7,91,131
56973707,5,38,2,1,3,11,28,113,2,2,5,20160401,5.00,1,30,54
56973606,5,38,2,1,3,11,28,113,2,2,2,20160401,5.00,1,20,139
56973F15,5,38,2,1,3,11,28,113,2,2,9,20160406,5.00,10,8,215
56979298,5,7,2,16,4,4,12,233,1,2,11,20160512,9.00,4,29,206
56980C20,5,52,2,1,4,4,12,214,1,8,2,20160514,5.00,6,18,334
56983460,5,52,2,1,4,4,12,214,1,8,2,20160513,5.00,5,8,184
56987727,5,52,2,1,4,4,12,214,1,8,2,20160511,6.50,3,39,299
